Ean,ImageSize,ImageSourceUrl,EanUrl,FullEanUrl,IpfsHash,IpfsUrl
9780142414293,l,https://covers.openlibrary.org/b/id/6389632-L.jpg,9780142414293_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780142414293_l.jpg,QmaCrSUJ6TM2zHMHmAZ8CFEysxAp5ZJGxbJbiT6hUKx1B8,https://ipfs.infura.io/ipfs/QmaCrSUJ6TM2zHMHmAZ8CFEysxAp5ZJGxbJbiT6hUKx1B8
9780345518972,s,https://covers.openlibrary.org/b/id/6424190-S.jpg,9780345518972_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780345518972_s.jpg,QmawcjJoXD8WaY255gqHnZx1gG2LQKQ2QtHPVuawoMYQRf,https://ipfs.infura.io/ipfs/QmawcjJoXD8WaY255gqHnZx1gG2LQKQ2QtHPVuawoMYQRf
9780345518972,m,https://covers.openlibrary.org/b/id/6424190-M.jpg,9780345518972_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780345518972_m.jpg,QmZVqeMkKruMNjvaM9Gd2RtA1Wd71cQDp1bto4v7EaeyRf,https://ipfs.infura.io/ipfs/QmZVqeMkKruMNjvaM9Gd2RtA1Wd71cQDp1bto4v7EaeyRf
9780345518972,l,https://covers.openlibrary.org/b/id/6424190-L.jpg,9780345518972_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780345518972_l.jpg,QmWGm3WZf4AVgTQFPAmiehPtmYYJoVKLLa7jqVTWRgmCB9,https://ipfs.infura.io/ipfs/QmWGm3WZf4AVgTQFPAmiehPtmYYJoVKLLa7jqVTWRgmCB9
9780307455772,s,https://covers.openlibrary.org/b/id/7698468-S.jpg,9780307455772_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780307455772_s.jpg,Qmc2u7ncH94F7a4RpoLevW3bg6PZz6kHngFt7WMj6Ey6Tw,https://ipfs.infura.io/ipfs/Qmc2u7ncH94F7a4RpoLevW3bg6PZz6kHngFt7WMj6Ey6Tw
9780307455772,m,https://covers.openlibrary.org/b/id/7698468-M.jpg,9780307455772_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780307455772_m.jpg,QmXrEQ5MGyGKmsVAKM9HZ9jaQ2pQNPTW4JBRWQbFeq5Uka,https://ipfs.infura.io/ipfs/QmXrEQ5MGyGKmsVAKM9HZ9jaQ2pQNPTW4JBRWQbFeq5Uka
9780307455772,l,https://covers.openlibrary.org/b/id/7698468-L.jpg,9780307455772_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780307455772_l.jpg,QmcBVUZrX8YecPqY7q6EdpHmpkZx8BnZrpa6Vy41r83S4X,https://ipfs.infura.io/ipfs/QmcBVUZrX8YecPqY7q6EdpHmpkZx8BnZrpa6Vy41r83S4X
9780062473448,s,https://covers.openlibrary.org/b/id/8737134-S.jpg,9780062473448_s.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780062473448_s.jpg,QmPzEzvz4j3kY7q1EsNhSo3yCSbzxMP1B4X5nTAMsbsS25,https://ipfs.infura.io/ipfs/QmPzEzvz4j3kY7q1EsNhSo3yCSbzxMP1B4X5nTAMsbsS25
9780062473448,m,https://covers.openlibrary.org/b/id/8737134-M.jpg,9780062473448_m.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780062473448_m.jpg,QmUFKdpCo6VXHaXk6euUAFcXH3aYzZUc5oTmWKbhWLkL7P,https://ipfs.infura.io/ipfs/QmUFKdpCo6VXHaXk6euUAFcXH3aYzZUc5oTmWKbhWLkL7P
9780062473448,l,https://covers.openlibrary.org/b/id/8737134-L.jpg,9780062473448_l.jpg,C:\Users\davew\Downloads\TopRankBooks_Fixed\covers\9780062473448_l.jpg,QmQRoHXqCSrrD7FcjSTHA6m677JGbHXTvfGpWVCuAL69KW,https://ipfs.infura.io/ipfs/QmQRoHXqCSrrD7FcjSTHA6m677JGbHXTvfGpWVCuAL69KW
